rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
32,Goldman Sachs Group,"$126,853",17%,"$14,276",67.60%,"$1,675,972","$176,092.4",3,"46,500",3,View More details about Goldman Sachs Group
33,Wells Fargo,"$125,397",8.70%,"$19,722",3%,"$1,929,845","$234,405.8",1,"217,502",1,View More details about Wells Fargo
34,Valero Energy,"$123,974",-10.80%,"$2,770",-68.60%,"$60,143","$41,530.8",-5,"9,910",-5,View More details about Valero Energy
35,Comcast,"$123,731",1.80%,"$16,192",5.20%,"$266,211","$139,519.7",-2,"182,000",-2,View More details about Comcast
36,State Farm Insurance,"$122,951",18%,"$5,287.3",,"$367,414",-,3,"67,381",3,View More details about State Farm Insurance
37,AT&T,"$122,336",-0.10%,"$10,948",-24%,"$394,795","$202,999",-5,"140,990",-5,View More details about AT&T
38,Freddie Mac,"$122,052",13%,"$11,858",12.50%,"$3,386,692","$3,477.8",-2,"8,090",-2,View More details about Freddie Mac
39,Humana,"$117,761",10.70%,"$1,207",-51.50%,"$46,479","$31,935.3",-1,"65,680",-1,View More details about Humana
40,Morgan Stanley,"$107,285",11.50%,"$13,390",47.40%,"$1,215,071","$188,171.9",1,"80,478",1,View More details about Morgan Stanley
41,Target,"$106,566",-0.80%,"$4,091",-1.10%,"$57,769","$47,544",-4,"440,000",-4,View More details about Target
42,StoneX Group,"$99,887.8",64.10%,$260.8,9.40%,"$27,466.3","$3,675.9",24,"4,500",24,View More details about StoneX Group
43,Tesla,"$97,690",0.90%,"$7,091",-52.70%,"$122,070","$833,592.6",-3,"125,665",-3,View More details about Tesla
44,Dell Technologies,"$95,567",8.10%,"$4,592",35.50%,"$79,746","$63,608.2",4,"108,000",4,View More details about Dell Technologies
45,PepsiCo,"$91,854",0.40%,"$9,578",5.60%,"$99,467","$205,614.5",-1,"319,000",-1,View More details about PepsiCo
46,Walt Disney,"$91,361",2.80%,"$4,972",111.20%,"$196,219","$178,428.8",1,"205,040",1,View More details about Walt Disney
47,UPS,"$91,070",0.10%,"$5,782",-13.80%,"$70,070","$93,220",-2,"372,180",-2,View More details about UPS
48,Johnson & Johnson,"$88,821",-6.70%,"$14,066",-60%,"$180,104","$399,649.1",-6,"138,100",-6,View More details about Johnson & Johnson
49,FedEx,"$87,693",-2.70%,"$4,331",9%,"$87,007","$58,409.4",-3,"422,100",-3,View More details about FedEx
50,Archer Daniels Midland,"$85,530",-8.90%,"$1,800",-48.30%,"$53,271","$23,052.3",-7,"43,213",-7,View More details about Archer Daniels Midland
51,Procter & Gamble,"$84,039",2.50%,"$14,879",1.50%,"$122,370","$399,609.6",-1,"108,000",-1,View More details about Procter & Gamble
52,Lowe's,"$83,674",-3.10%,"$6,957",-10%,"$43,102","$130,540.4",-3,"215,500",-3,View More details about Lowe's
53,Energy Transfer,"$82,671",5.20%,"$4,814",22.30%,"$125,380","$63,786.3",-2,"16,248",-2,View More details about Energy Transfer
54,RTX,"$80,738",17.10%,"$4,774",49.40%,"$162,861","$176,846",1,"186,000",1,View More details about RTX
55,Albertsons,"$79,237.7",2%,"$1,296",-14.40%,"$26,221.1","$12,740.6",-2,"196,650",-2,View More details about Albertsons
56,Sysco,"$78,844",3.30%,"$1,955",10.40%,"$24,917","$36,711.8",-2,"76,000",-2,View More details about Sysco
57,Progressive,"$75,372",21.40%,"$8,480",117.30%,"$105,745","$165,910.7",5,"66,308",5,View More details about Progressive
58,American Express,"$74,201",10.10%,"$10,129",21%,"$271,461","$188,633.5",-,"75,100",-,View More details about American Express
59,Lockheed Martin,"$71,043",5.10%,"$5,336",-22.90%,"$55,617","$104,786.1",-2,"121,000",-2,View More details about Lockheed Martin
60,MetLife,"$70,986",6.10%,"$4,426",180.50%,"$677,457","$54,695.8",-,"45,000",-,View More details about MetLife
61,HCA Healthcare,"$70,603",8.70%,"$5,760",9.90%,"$59,513","$85,075.6",-,"271,000",-,View More details about HCA Healthcare
62,Prudential Financial,"$70,405",30.40%,"$2,727",9.60%,"$735,587","$39,582.4",19,"37,936",19,View More details about Prudential Financial
63,Boeing,"$66,517",-14.50%,"$-11,817",,"$156,363","$128,323.1",-11,"172,000",-11,View More details about Boeing
64,Caterpillar,"$64,809",-3.40%,"$10,792",4.40%,"$87,764","$157,622",-5,"112,900",-5,View More details about Caterpillar
65,Merck,"$64,168",6.70%,"$17,117",4589.60%,"$117,106","$226,737",2,"74,000",2,View More details about Merck
66,Allstate,"$64,106",12.30%,"$4,667",,"$111,617","$54,878.9",7,"55,200",7,View More details about Allstate
67,Pfizer,"$63,627",8.80%,"$8,031",279%,"$213,396","$143,714.7",2,"81,000",2,View More details about Pfizer
68,IBM,"$62,753",1.40%,"$6,023",-19.70%,"$137,175","$230,573.5",-5,"284,500",-5,View More details about IBM
69,New York Life Insurance,"$62,639.2",15.30%,$250.2,-68.90%,"$431,944.2",-,9,"15,131",9,View More details about New York Life Insurance
70,Delta Air Lines,"$61,643",6.20%,"$3,457",-25%,"$75,372","$28,163.9",-,"103,000",-,View More details about Delta Air Lines
71,Publix Super Markets,"$60,177",4.60%,"$4,635",6.60%,"$37,601",-,1,"255,000",1,View More details about Publix Super Markets
72,Nationwide,"$58,645.9",7.40%,"$2,062.2",,"$307,070.9",-,3,"22,453",3,View More details about Nationwide
73,TD Synnex,"$58,452.4",1.60%,$689.1,9.90%,"$30,274.5","$8,651.1",-2,"25,750",-2,View More details about TD Synnex
74,United Airlines Holdings,"$57,063",6.20%,"$3,149",20.30%,"$74,083","$22,602.8",9,"107,300",9,View More details about United Airlines Holdings
75,ConocoPhillips,"$56,953",-2.80%,"$9,245",-15.60%,"$122,780","$132,762.6",-7,"11,800",-7,View More details about ConocoPhillips
76,TJX,"$56,360",4%,"$4,864",8.70%,"$31,749","$136,922.4",4,"364,000",4,View More details about TJX
77,AbbVie,"$56,334",3.70%,"$4,278",-12%,"$135,161","$370,636.3",-,"55,000",-,View More details about AbbVie
78,Enterprise Products Partners,"$56,219",13.10%,"$5,901",6.70%,"$77,168","$73,937",12,"7,800",12,View More details about Enterprise Products Partners
79,Charter Communications,"$55,085",0.90%,"$5,083",11.50%,"$150,020","$58,406.7",-3,"94,500",-3,View More details about Charter Communications
80,Performance Food Group,"$54,681.2",2.50%,$435.9,9.70%,"$13,392.9","$12,283.3",4,"36,815",4,View More details about Performance Food Group
81,American Airlines Group,"$54,211",2.70%,$846,2.90%,"$61,783","$6,937.4",5,"133,300",5,View More details about American Airlines Group
82,Capital One Financial,"$53,938",9%,"$4,750",-2.80%,"$490,144","$68,664.6",9,"52,600",9,View More details about Capital One Financial
83,Cisco Systems,"$53,803",-5.60%,"$10,320",-18.20%,"$124,413","$245,500.4",-9,"90,400",-9,View More details about Cisco Systems
84,HP,"$53,559",-0.30%,"$2,775",-15%,"$39,909","$26,103.4",-2,"58,000",-2,View More details about HP
85,Tyson Foods,"$53,309",0.80%,$800,,"$37,100","$22,728.8",-,"138,000",-,View More details about Tyson Foods
86,Intel,"$53,101",-2.10%,"$-18,756",-1210.50%,"$196,485","$99,029",-7,"108,900",-7,View More details about Intel
87,Oracle,"$52,961",6%,"$10,467",23.10%,"$140,976","$392,060",2,"159,000",2,View More details about Oracle
88,Broadcom,"$52,432",46.40%,"$5,895",-58.10%,"$165,645","$787,244.2",30,"37,000",30,View More details about Broadcom
89,Deere,"$51,716",-15.60%,"$7,100",-30.20%,"$107,320","$127,388.1",-25,"55,524",-25,View More details about Deere
90,Nike,"$51,362",0.30%,"$5,700",12.40%,"$38,110","$93,895",-2,"79,400",-2,View More details about Nike
91,Liberty Mutual Insurance Group,"$50,429",-4.10%,"$4,383",1957.70%,"$166,695",-,-4,"40,000",-4,View More details about Liberty Mutual Insurance Group
92,Plains GP Holdings,"$50,073",2.80%,$103,-48%,"$27,756","$4,223.8",-,"4,200",-,View More details about Plains GP Holdings
93,USAA,"$48,560",14.30%,"$3,885.4",220.20%,"$220,582.6",-,10,"38,018",10,View More details about USAA
94,Bristol-Myers Squibb,"$48,300",7.30%,"$-8,948",-211.50%,"$92,603","$124,100.2",4,"34,100",4,View More details about Bristol-Myers Squibb
95,Ingram Micro Holding,"$47,983.7",-0.10%,$264.2,-25.10%,"$18,779.7","$4,165.8",-,"26,125",-,View More details about Ingram Micro Holding
96,General Dynamics,"$47,716",12.90%,"$3,782",14.10%,"$55,880","$73,155.5",8,"117,000",8,View More details about General Dynamics
97,Coca-Cola,"$47,061",2.90%,"$10,631",-0.80%,"$100,549","$308,221.5",-2,"69,700",-2,View More details about Coca-Cola
98,TIAA,"$46,945.8",2.60%,"$-1,935.8",,"$655,708.3",-,-2,"15,623",-2,View More details about TIAA
99,Travelers,"$46,423",12.20%,"$4,999",67.10%,"$133,189","$59,960.1",6,"34,000",6,View More details about Travelers
100,Eli Lilly,"$45,042.7",32%,"$10,590",102.10%,"$78,714.9","$782,953.7",27,"47,000",27,View More details about Eli Lilly
101,Uber Technologies,"$43,978",18%,"$9,856",422.30%,"$51,244","$152,369.1",12,"31,100",12,View More details about Uber Technologies
102,Massachusetts Mutual Life,"$43,072",1%,$316.3,,"$422,113.5",-,-,"11,192",-,View More details about Massachusetts Mutual Life
103,Dow,"$42,964",-3.70%,"$1,116",89.50%,"$57,312","$24,645.3",-4,"36,000",-4,View More details about Dow
104,Thermo Fisher Scientific,"$42,879",0.10%,"$6,335",5.70%,"$97,321","$187,725.2",-3,"125,000",-3,View More details about Thermo Fisher Scientific
105,U.S. Bancorp,"$42,712",5.10%,"$6,299",16%,"$678,318","$65,779.2",2,"70,263",2,View More details about U.S. Bancorp
106,World Kinect,"$42,168",-11.60%,$67.4,27.40%,"$6,731.8","$1,609.4",-13,"4,745",-13,View More details about World Kinect
107,Abbott Laboratories,"$41,950",4.60%,"$13,402",134.20%,"$81,414","$230,058",1,"114,000",1,View More details about Abbott Laboratories
108,Best Buy,"$41,528",-4.40%,$927,-25.30%,"$14,782","$15,558.9",-8,"85,000",-8,View More details about Best Buy
109,Northwestern Mutual,"$41,445",6.80%,$560.7,-21.20%,"$378,324.1",-,1,"8,249",1,View More details about Northwestern Mutual
110,Northrop Grumman,"$41,033",4.40%,"$4,174",103%,"$49,359","$74,116.3",-1,"97,000",-1,View More details about Northrop Grumman
111,Molina Healthcare,"$40,650",19.30%,"$1,179",8.10%,"$15,630","$18,017.6",17,"18,000",17,View More details about Molina Healthcare
112,Dollar General,"$40,612.3",5%,"$1,125.3",-32.30%,"$31,132.7","$19,339.9",-1,"194,200",-1,View More details about Dollar General
113,Bank of New York (BNY),"$39,914",18.10%,"$4,530",37.90%,"$416,064","$60,216.5",17,"51,800",17,View More details about Bank of New York (BNY)
114,Warner Bros. Discovery,"$39,321",-4.80%,"$-11,311",,"$104,560","$26,339.6",-8,"35,000",-8,View More details about Warner Bros. Discovery
115,CHS,"$39,261.2",-13.90%,"$1,102.3",-42%,"$18,715.1",-,-18,"10,730",-18,View More details about CHS
116,Netflix,"$39,001",15.60%,"$8,711.6",61.10%,"$53,630.4","$398,896.3",15,"14,000",15,View More details about Netflix
117,Qualcomm,"$38,962",8.80%,"$10,142",40.20%,"$55,154","$169,892.7",-,"49,000",-,View More details about Qualcomm
118,GE Aerospace,"$38,702",-43%,"$6,556",-30.90%,"$123,140","$213,475.7",-62,"53,000",-62,View More details about GE Aerospace
119,Honeywell International,"$38,498",5%,"$5,705",0.80%,"$75,196","$137,376.6",-5,"102,000",-5,View More details about Honeywell International
120,Salesforce,"$37,895",8.70%,"$6,197",49.80%,"$102,928","$257,894",3,"76,453",3,View More details about Salesforce
121,Philip Morris International,"$37,878",7.70%,"$7,057",-9.70%,"$61,784","$247,061.4",-,"83,100",-,View More details about Philip Morris International
122,US Foods Holding,"$37,877",6.40%,$494,-2.40%,"$13,436","$15,080.6",-3,"30,000",-3,View More details about US Foods Holding
123,D.R. Horton,"$36,801.4",3.80%,"$4,756.4",0.20%,"$36,104.3","$40,061.5",-3,"14,766",-3,View More details about D.R. Horton
124,Lithia Motors,"$36,610.6",16.90%,$802,-19.90%,"$23,127.9","$7,712",16,"30,164",16,View More details about Lithia Motors
125,Mondelez International,"$36,441",1.20%,"$4,611",-7%,"$68,497","$87,765.7",-10,"90,000",-10,View More details about Mondelez International
126,Starbucks,"$36,176.2",0.60%,"$3,760.9",-8.80%,"$31,339.3","$111,420.4",-10,"361,000",-10,View More details about Starbucks
127,Visa,"$35,926",10%,"$19,743",14.30%,"$94,511","$685,904.9",8,"31,600",8,View More details about Visa
128,CBRE Group,"$35,767",12%,$968,-1.80%,"$24,383","$39,238.9",10,"140,000",10,View More details about CBRE Group
129,Lennar,"$35,441.5",3.50%,"$3,932.5",-0.20%,"$41,312.8","$30,160.8",-3,"13,265",-3,View More details about Lennar
130,GE Vernova,"$34,935",,"$1,552",,"$51,485","$83,446.9",-,"76,800",-,View More details about GE Vernova
131,PNC Financial Services Group,"$34,440",8%,"$5,889",5.60%,"$560,038","$69,560.9",8,"54,435",8,View More details about PNC Financial Services Group
132,Cummins,"$34,102",0.10%,"$3,946",436.90%,"$31,540","$43,174",-3,"69,600",-3,View More details about Cummins
133,Paccar,"$33,663.8",-4.20%,"$4,162",-9.50%,"$43,418.9","$51,112.9",-11,"30,100",-11,View More details about Paccar
134,Amgen,"$33,424",18.60%,"$4,090",-39.10%,"$91,839","$167,366.2",17,"28,000",17,View More details about Amgen
135,PBF Energy,"$33,115.3",-13.60%,$-533.8,-124.90%,"$12,703.2","$2,207.7",-23,"3,855",-23,View More details about PBF Energy
136,GuideWell Mutual Holding,"$32,955",5.90%,$284.7,-46.50%,"$20,238.2",-,-,"17,936",-,View More details about GuideWell Mutual Holding
137,PayPal Holdings,"$31,797",6.80%,"$4,147",-2.30%,"$81,611","$64,548.1",8,"24,400",8,View More details about PayPal Holdings
138,United Natural Foods,"$30,980",2.30%,$-112,-566.70%,"$7,528","$1,657.8",6,"28,333",6,View More details about United Natural Foods
139,Dollar Tree,"$30,845.6",0.80%,"$-3,030.1",,"$18,644","$16,146.3",4,"139,572",4,View More details about Dollar Tree
140,Nucor,"$30,734",-11.50%,"$2,027",-55.20%,"$33,940","$27,768",-16,"32,700",-16,View More details about Nucor
141,Penske Automotive Group,"$30,455.2",3.10%,$918.9,-12.80%,"$16,720.9","$9,610.3",5,"28,938",5,View More details about Penske Automotive Group
142,Coupang,"$30,268",24.10%,$154,-88.70%,"$15,344","$39,594.3",26,"95,000",26,View More details about Coupang
143,Hewlett Packard Enterprise,"$30,127",3.40%,"$2,579",27.40%,"$71,262","$20,268.5",4,"61,000",4,View More details about Hewlett Packard Enterprise
144,Duke Energy,"$29,938",3.50%,"$4,524",59.20%,"$186,343","$94,773.3",4,"26,413",4,View More details about Duke Energy
145,KKR,"$29,880.4",37.80%,"$3,076.2",-17.60%,"$360,099.4","$102,690.6",43,"4,834",43,View More details about KKR
146,Ferguson Enterprises,"$29,635",-0.30%,"$1,735",-8.20%,"$16,572","$31,837.7",-,"35,000",-,View More details about Ferguson Enterprises
147,Paramount Skydance,"$29,213",-4.60%,"$-6,190",,"$46,172","$8,460.9",-5,"20,350",-5,View More details about Paramount Skydance
148,Jabil,"$28,883",-16.80%,"$1,388",69.70%,"$17,351","$14,855.9",-23,"138,000",-23,View More details about Jabil
149,Gilead Sciences,"$28,754",6%,$480,-91.50%,"$58,995","$139,685.4",5,"17,600",5,View More details about Gilead Sciences
150,HF Sinclair,"$28,580",-10.60%,$177,-88.90%,"$16,643","$6,194.8",-13,"5,297",-13,View More details about HF Sinclair
151,CarMax,"$28,213.4",-9.40%,$479.2,-1.10%,"$27,196.8","$11,984.1",-10,"29,836",-10,View More details about CarMax
152,Mastercard,"$28,167",12.20%,"$12,874",15%,"$48,081","$499,725.7",12,"35,300",12,View More details about Mastercard
153,NRG Energy,"$28,130",-2.40%,"$1,125",,"$24,022","$19,442",-3,"15,637",-3,View More details about NRG Energy
154,Arrow Electronics,"$27,923.3",-15.70%,$392.1,-56.60%,"$21,757.7","$5,385.4",-21,"21,520",-21,View More details about Arrow Electronics
155,Baker Hughes,"$27,829",9.10%,"$2,979",53.30%,"$38,363","$43,525.9",6,"57,000",6,View More details about Baker Hughes
156,Southwest Airlines,"$27,483",5.30%,$465,,"$33,750","$19,901.6",3,"72,450",3,View More details about Southwest Airlines
157,AIG,"$27,251",-41.80%,"$-1,404",-138.50%,"$161,322","$51,584.4",-63,"22,200",-63,View More details about AIG
158,Applied Materials,"$27,176",2.50%,"$7,177",4.70%,"$34,409","$117,901.4",-,"35,700",-,View More details about Applied Materials
159,Occidental Petroleum,"$26,880",-7%,"$3,056",-34.90%,"$85,445","$46,387.7",-10,"13,323",-10,View More details about Occidental Petroleum
160,AutoNation,"$26,765.4",-0.70%,$692.2,-32.20%,"$13,001.7","$6,354.9",-5,"25,100",-5,View More details about AutoNation
161,Southern,"$26,724",5.80%,"$4,401",10.70%,"$145,180","$100,651.5",2,"28,457",2,View More details about Southern
162,Hartford Insurance Group,"$26,535",8.20%,"$3,111",24.20%,"$80,917","$35,310.9",4,"19,100",4,View More details about Hartford Insurance Group
163,Apollo Global Management,"$26,262",-19.90%,"$4,577",-9.30%,"$377,895","$78,121.6",-27,"5,108",-27,View More details about Apollo Global Management
164,Charles Schwab,"$25,999",1.90%,"$5,942",17.30%,"$479,843","$145,950",-4,"32,100",-4,View More details about Charles Schwab
165,McDonald's,"$25,920",1.70%,"$8,223",-2.90%,"$55,182","$223,176.2",-3,"150,000",-3,View More details about McDonald's
166,Kraft Heinz,"$25,846",-3%,"$2,744",-3.90%,"$88,287","$36,315.1",-10,"36,000",-10,View More details about Kraft Heinz
167,Advanced Micro Devices,"$25,785",13.70%,"$1,641",92.20%,"$69,226","$166,058.4",14,"28,000",14,View More details about Advanced Micro Devices
168,Truist Financial,"$25,612",-23%,"$4,818",,"$531,176","$53,716.8",-36,"37,552",-36,View More details about Truist Financial
169,Freeport-McMoRan,"$25,455",11.40%,"$1,889",2.20%,"$54,848","$54,407.6",9,"28,500",9,View More details about Freeport-McMoRan
170,Micron Technology,"$25,111",61.60%,$778,,"$69,416","$97,105.8",94,"48,000",94,View More details about Micron Technology
171,Marriott International,"$25,100",5.80%,"$2,375",-23%,"$26,182","$65,593.8",2,"155,000",2,View More details about Marriott International
172,Carrier Global,"$24,809",12.30%,"$5,604",315.40%,"$37,403","$54,776.8",12,"48,000",12,View More details about Carrier Global
173,NextEra Energy,"$24,753",-12%,"$6,946",-5%,"$190,144","$145,822.6",-21,"16,800",-21,View More details about NextEra Energy
174,3M,"$24,575",-24.80%,"$4,173",,"$39,868","$79,204.3",-40,"61,500",-40,View More details about 3M
175,Marsh & McLennan,"$24,458",7.60%,"$4,060",8.10%,"$56,481","$120,283.1",5,"90,000",5,View More details about Marsh & McLennan
176,PG&E,"$24,419",,"$2,475",10.40%,"$133,660","$37,685.6",-9,"28,410",-9,View More details about PG&E
177,Union Pacific,"$24,250",0.50%,"$6,747",5.80%,"$67,715","$141,582.9",-7,"32,439",-7,View More details about Union Pacific
178,Synchrony,"$24,166",15.10%,"$3,499",56.30%,"$119,463","$20,580.4",13,"20,000",13,View More details about Synchrony
179,Block,"$24,121.1",10.10%,"$2,897",29546.40%,"$36,777.6","$33,656.3",7,"11,372",7,View More details about Block
180,Danaher,"$23,875",-13.50%,"$3,899",-18.20%,"$77,542","$146,667.3",-27,"62,000",-27,View More details about Danaher
181,Avnet,"$23,757.1",-10.50%,$498.7,-35.30%,"$12,209.1","$4,160",-24,"15,462",-24,View More details about Avnet
182,Booking Holdings,"$23,739",11.10%,"$5,882",37.10%,"$27,708","$151,176.7",8,"24,179",8,View More details about Booking Holdings
183,EOG Resources,"$23,698",-2%,"$6,403",-15.70%,"$47,186","$70,730.1",-14,"3,150",-14,View More details about EOG Resources
184,Quanta Services,"$23,672.8",13.40%,$904.8,21.50%,"$18,683.9","$37,669",8,"58,400",8,View More details about Quanta Services
185,Discover,"$23,634",15.10%,"$4,535",62.20%,"$147,640","$42,948.8",9,"21,000",9,View More details about Discover
186,Constellation Energy,"$23,568",-5.40%,"$3,749",131%,"$52,926","$63,172.6",-21,"14,240",-21,View More details about Constellation Energy
187,Genuine Parts,"$23,486.6",1.70%,$904.1,-31.30%,"$19,282.7","$16,534.5",-12,"63,000",-12,View More details about Genuine Parts
188,Jones Lang LaSalle,"$23,432.9",12.90%,$546.8,142.60%,"$16,763.8","$11,748.9",5,"112,100",5,View More details about Jones Lang LaSalle
189,Lear,"$23,306",-0.70%,$506.6,-11.50%,"$14,027.5","$4,731.9",-15,"173,700",-15,View More details about Lear
190,Live Nation Entertainment,"$23,155.6",1.90%,$896.3,60.90%,"$19,638.8","$30,477.5",-11,"24,200",-11,View More details about Live Nation Entertainment
191,Sherwin-Williams,"$23,098.5",0.20%,"$2,681.4",12.20%,"$23,632.6","$87,824.8",-15,"63,890",-15,View More details about Sherwin-Williams
192,Exelon,"$23,028",6%,"$2,460",5.70%,"$107,784","$46,519.4",-5,"20,014",-5,View More details about Exelon
193,Macy's,"$23,006",-3.60%,$582,454.30%,"$16,402","$3,488.1",-21,"94,189",-21,View More details about Macy's
194,Halliburton,"$22,944",-0.30%,"$2,501",-5.20%,"$25,587","$22,023.5",-17,"48,000",-17,View More details about Halliburton
195,Stryker,"$22,595",10.20%,"$2,993",-5.40%,"$42,971","$142,083.7",2,"53,000",2,View More details about Stryker
196,Reinsurance Group of America,"$22,107",19.10%,$717,-20.50%,"$118,675","$13,000.2",27,"4,100",27,View More details about Reinsurance Group of America
197,Waste Management,"$22,063",8%,"$2,746",19.20%,"$44,567","$93,093.7",2,"61,700",2,View More details about Waste Management
198,State Street,"$22,054",20.10%,"$2,687",38.20%,"$353,240","$25,826.6",27,"52,626",27,View More details about State Street
199,WESCO International,"$21,818.8",-2.50%,$717.6,-6.30%,"$15,061.4","$7,578",-16,"20,000",-16,View More details about WESCO International
200,Oneok,"$21,698",22.70%,"$3,035",14.10%,"$64,069","$61,947",32,"5,177",32,View More details about Oneok
201,Adobe,"$21,505",10.80%,"$5,560",2.40%,"$30,230","$163,460.5",9,"30,709",9,View More details about Adobe
202,American Family Insurance Group,"$21,339.4",25.50%,"$2,477.6",,"$42,182.9",-,41,"11,073",41,View More details about American Family Insurance Group
203,L3Harris Technologies,"$21,325",9.80%,"$1,502",22.40%,"$42,001","$39,290.9",6,"47,000",6,View More details about L3Harris Technologies
204,Ross Stores,"$21,129.2",3.70%,"$2,090.7",11.50%,"$14,905.3","$42,161.7",-3,"107,000",-3,View More details about Ross Stores
205,CDW,"$20,998.7",-1.80%,"$1,077.8",-2.40%,"$14,678.4","$21,233.2",-16,"15,100",-16,View More details about CDW
206,Tenet Healthcare,"$20,665",0.60%,"$3,200",423.70%,"$28,936","$12,793.8",-11,"86,240",-11,View More details about Tenet Healthcare
207,BJ's Wholesale Club,"$20,501.8",2.70%,$534.4,2%,"$7,065.3","$15,024.3",-2,"33,000",-2,View More details about BJ's Wholesale Club
208,Fiserv,"$20,456",7.10%,"$3,131",2.10%,"$77,176","$123,949.4",7,"38,000",7,View More details about Fiserv
209,Altria Group,"$20,444",-0.30%,"$11,264",38.50%,"$35,177","$101,473.5",-13,"6,200",-13,View More details about Altria Group
210,BlackRock,"$20,407",14.30%,"$6,369",15.80%,"$138,615","$146,944.3",21,"21,100",21,View More details about BlackRock
211,Becton Dickinson,"$20,178",4.20%,"$1,705",14.90%,"$57,286","$65,771.2",-,"74,000",-,View More details about Becton Dickinson
